id,idade,genero,estado_civil,educacao,regime_trabalho,data_contratacao,data_demissao,tipo_demissao,cargo,salario_atual,data_ultimo_feedback,data_ultimo_aumento,data_ultima_mudanca_cargo,nota_avaliacao,acompanhamento_psicologo,qtde_projetos,qtde_clientes,nivel_satisfacao_gestor,churn
EMP1564,37,F,Divorciado(a),Master,Remoto,2020-01-02,,,Senior Developer,10207,2024-05-09,2023-07-31,2022-11-03,9.6,True,5,1,7.0,0
EMP0959,45,Outro,Divorciado(a),Master,Remoto,2020-01-03,,,UX Designer,23921,2024-04-05,2023-09-10,2022-02-11,8.4,True,8,4,9.1,0
EMP0494,54,M,Viúvo(a),Technical Degree,Híbrido,2020-01-04,,,Tech Lead,15298,2023-06-16,2021-12-26,2021-05-10,8.5,False,9,7,1.3,0
EMP1231,44,M,Casado(a),Bachelor,Remoto,2020-01-05,,,QA Engineer,15306,2021-12-04,2022-01-01,2024-08-30,7.9,False,8,4,8.4,0
EMP1912,53,Outro,Viúvo(a),PhD,Presencial,2020-01-07,,,Senior Developer,17723,2022-03-04,2023-11-18,2024-08-08,7.5,True,5,2,8.2,0
EMP1053,49,Outro,Casado(a),Technical Degree,Híbrido,2020-01-08,,,Junior Developer,6507,2022-06-01,2020-07-05,2021-09-02,7.9,True,8,4,7.1,0
EMP1152,29,M,Casado(a),PhD,Presencial,2020-01-10,2022-08-22,Involuntária,Product Manager,12575,2020-10-16,2020-08-11,2022-02-27,9.1,True,6,3,1.9,1
EMP1317,38,F,Viúvo(a),PhD,Remoto,2020-01-11,,,DevOps Engineer,16643,2023-03-28,2023-05-16,2022-03-28,8.9,False,6,4,8.3,0
EMP1398,33,M,Casado(a),Technical Degree,Remoto,2020-01-12,,,DevOps Engineer,16771,2024-01-03,2024-03-13,2024-06-15,7.6,False,8,1,1.2,0
EMP0167,23,M,Viúvo(a),PhD,Híbrido,2020-01-13,,,QA Engineer,13258,2022-01-02,2021-09-15,2024-04-04,8.1,True,3,6,7.0,0
EMP1718,28,M,Divorciado(a),PhD,Remoto,2020-01-14,,,Junior Developer,23069,2021-05-29,2023-02-07,2021-08-05,6.8,True,6,1,9.2,0
EMP1451,53,Outro,Casado(a),PhD,Híbrido,2020-01-14,,,DevOps Engineer,14262,2024-04-27,2023-01-26,2020-04-09,6.5,True,3,5,6.3,0
EMP0734,46,Outro,Viúvo(a),Bachelor,Remoto,2020-01-14,2022-06-06,Voluntária,Junior Developer,12522,2020-06-02,2022-05-25,2021-10-20,8.9,True,1,1,5.4,1
EMP1399,46,F,Casado(a),Master,Presencial,2020-01-15,,,DevOps Engineer,21450,2023-04-12,2022-12-20,2020-09-12,9.1,False,3,6,5.5,0
EMP1122,27,Outro,Casado(a),PhD,Presencial,2020-01-16,,,DevOps Engineer,12410,2022-11-28,2023-10-03,2024-10-08,7.5,False,3,2,8.0,0
EMP0096,41,M,Solteiro(a),Master,Remoto,2020-01-17,,,Data Scientist,12083,2023-10-15,2024-08-16,2023-02-25,6.9,False,6,4,2.3,0
EMP0953,30,F,Casado(a),Master,Presencial,2020-01-17,,,Junior Developer,21476,2022-02-10,2021-03-02,2021-09-05,7.1,True,8,1,2.2,0
EMP1116,27,Outro,Viúvo(a),Bachelor,Híbrido,2020-01-18,,,UX Designer,9297,2021-04-20,2021-06-17,2023-06-16,8.2,True,1,1,6.8,0
EMP1440,43,Outro,Viúvo(a),PhD,Remoto,2020-01-20,,,DevOps Engineer,23436,2023-12-25,2024-09-19,2021-07-12,8.8,False,1,6,1.3,0
EMP1885,25,Outro,Viúvo(a),Technical Degree,Híbrido,2020-01-22,2023-11-29,Involuntária,UX Designer,15487,2020-02-08,2020-06-09,2020-02-15,8.3,False,6,2,3.5,1
EMP1852,46,F,Casado(a),Technical Degree,Remoto,2020-01-23,2022-10-09,Involuntária,Senior Developer,22882,2021-05-01,2021-06-30,2022-08-07,6.6,True,3,4,9.0,1
EMP1616,24,Outro,Solteiro(a),Master,Híbrido,2020-01-24,,,Tech Lead,9872,2023-08-14,2024-06-03,2023-08-10,6.2,False,2,2,9.2,0
EMP1215,38,F,Casado(a),Technical Degree,Presencial,2020-01-24,,,Junior Developer,13758,2023-09-02,2020-12-10,2022-11-24,6.5,True,5,4,2.5,0
EMP0915,53,F,Viúvo(a),PhD,Remoto,2020-01-25,,,Data Scientist,20580,2022-02-02,2021-11-03,2020-10-21,9.1,False,6,4,2.3,0
EMP1209,50,Outro,Solteiro(a),Master,Presencial,2020-01-26,,,DevOps Engineer,22211,2024-01-07,2023-11-14,2023-01-04,9.4,True,9,6,8.0,0
EMP1079,36,Outro,Viúvo(a),Master,Híbrido,2020-01-26,2024-07-23,Involuntária,Product Manager,13159,2023-12-30,2023-07-25,2023-05-13,7.0,True,9,5,6.8,1
EMP1271,29,F,Divorciado(a),Technical Degree,Remoto,2020-01-27,,,Junior Developer,11659,2024-03-29,2021-06-24,2021-03-17,9.5,False,6,1,1.9,0
EMP0270,43,F,Divorciado(a),Technical Degree,Híbrido,2020-01-29,2023-04-04,Involuntária,Senior Developer,14227,2022-05-13,2020-08-06,2021-05-03,8.0,False,2,2,8.4,1
EMP0328,42,F,Solteiro(a),Master,Presencial,2020-01-29,,,UX Designer,23425,2021-07-23,2023-01-31,2020-10-08,8.0,False,5,7,1.6,0
